seq.length.cortes..	cortes	ganancia
1	8000	8.4e+07
2	8500	83020000
3	9000	83440000
4	9500	83580000
5	10000	83440000
6	10500	83580000
7	11000	82600000
8	11500	81060000
9	12000	81200000
10	12500	80500000
11	13000	78400000
12	13500	77420000
13	14000	7.7e+07
14	14500	75740000
15	15000	73920000
