fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231113 125353	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	585	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.221980282064178	0.0803440961432352	298	12395	8013	73260604.1979011	1
20231113 130115	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	59	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.134882393101579	0.714245042846596	678	4376	9961	79602695.1524238	2
20231113 132354	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1192	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0628189732675673	0.409076460650685	712	36034	10223	82086236.3818091	3
20231113 133232	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.198516485039145	0.44682528895486	147	19727	9829	77428784.107946	4
20231113 133744	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.246740918922005	0.92936451900925	478	27167	11081	78513339.830085	5
20231113 134344	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	628	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.156385578808258	0.0193446946676704	559	23378	10509	76140868.065967	6
20231113 135311	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	185	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.179513220834197	0.533150968309492	393	29356	8919	82123681.6591704	7
20231113 140316	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	305	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.170419282851508	0.586586416774517	942	46272	8680	79480259.870065	8
20231113 141519	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	473	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0742812723119277	0.291582851048443	588	9244	8697	81779670.6646677	9
20231113 142010	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.259476162962383	0.82956067257197	334	48752	8843	80572823.0884558	10
20231113 142632	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.121226726248278	0.970037545386731	978	16630	11254	79457962.0189905	11
20231113 143941	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	725	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.090718721630983	0.250863193025289	121	39495	9748	83743130.4347826	12
20231113 151014	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1945	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0361041067278711	0.336159723671881	853	41064	9582	82952826.5867067	13
20231113 151932	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	383	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.271255173852551	0.65879299230277	253	1794	9499	67739923.5382309	14
20231113 153659	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2063	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.043101552578737	0.783719447433541	24	14711	9909	83967994.5027486	15
20231113 154238	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.286950974153588	0.195369304275955	779	32398	9989	74105585.7071464	16
20231113 160310	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1701	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0239299041022389	0.722188213241068	104	41952	9649	82141697.6511744	17
20231113 161417	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1611	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.138333242833704	0.85125269503092	8	36095	9524	82052439.7801099	18
20231113 165646	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3750	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0337002005304773	0.279882903819102	8	28437	10068	83388407.7961019	19
20231113 171554	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0200475401702646	0.626067365751709	331	5326	8846	82834921.5392304	20
20231113 172530	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	528	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0448839977676863	0.177128586501253	166	49974	9783	79775571.7141429	21
20231113 173919	604	1891797	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1041	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0893336284905689	0.599720132742496	9	29444	11003	81140379.3103448	22
