seq.length.cortes..	cortes	ganancia
1	8000	79800000
2	8500	81620000
3	9000	82320000
4	9500	81620000
5	10000	82040000
6	10500	82460000
7	11000	82880000
8	11500	82460000
9	12000	82880000
10	12500	81060000
11	13000	82040000
12	13500	80780000
13	14000	79240000
14	14500	77980000
15	15000	76440000
