seq.length.cortes..	cortes	ganancia
1	8000	81200000
2	8500	81060000
3	9000	82880000
4	9500	83300000
5	10000	82880000
6	10500	83300000
7	11000	82600000
8	11500	80780000
9	12000	80080000
10	12500	80780000
11	13000	78680000
12	13500	78820000
13	14000	78120000
14	14500	77700000
15	15000	76160000
