fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231121 095252	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	740	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.03806370147601	0.68011694773408	939	29465	9549	81805235.882059	52
20231121 100050	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	51	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.273506495698903	0.522962632766209	248	7473	10144	76197277.3613193	53
20231121 101603	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1283	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0491805392204207	0.922068455726858	498	46522	9507	79936897.0514743	54
20231121 103206	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1068	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0484237606680724	0.202086758931416	920	19452	9190	82039475.2623688	55
20231121 104708	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2073	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0303086948114001	0.0314537866925792	362	44285	10684	75283184.4077961	56
20231121 105542	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	314	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0887994795037647	0.651743792652755	259	1673	9740	82169225.3873063	57
20231121 110313	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	222	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.126007325768667	0.695266231045073	461	12049	8397	80434593.2033983	58
20231121 111414	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0944682324156054	0.443311073676509	832	25719	8934	79034533.7331334	59
20231121 111939	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.208041106631167	0.709832919893429	107	24825	6868	75762500.7496252	60
20231121 112802	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.17193020550266	0.539950724662	971	13780	11233	75839724.6376812	61
20231121 113632	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	562	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0990695816792159	0.134912792919744	427	42430	10087	81069420.7896052	62
20231121 114535	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	191	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.1812068004265	0.534099685485853	568	43960	11446	77258429.7851074	63
20231121 115037	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.210564002287796	0.946167226591309	225	28958	11467	78118926.0369815	64
20231121 120715	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1444	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.047705409770367	0.977942369653877	418	45650	8965	82401561.7191404	65
20231121 121350	604	1883250	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	824	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.205437820255614	0.0181408660554863	351	23401	9537	76591344.8275862	66
