seq.length.cortes..	cortes	ganancia
1	8000	84560000
2	8500	83580000
3	9000	83160000
4	9500	82460000
5	10000	82320000
6	10500	83300000
7	11000	82040000
8	11500	81620000
9	12000	80640000
10	12500	80500000
11	13000	79800000
12	13500	79100000
13	14000	76440000
14	14500	74060000
15	15000	72520000
