seq.length.cortes..	cortes	ganancia
1	8000	81760000
2	8500	83580000
3	9000	85120000
4	9500	84420000
5	10000	83440000
6	10500	83580000
7	11000	83160000
8	11500	81620000
9	12000	80920000
10	12500	81340000
11	13000	80360000
12	13500	78820000
13	14000	76720000
14	14500	76580000
15	15000	74200000
