seq.length.cortes..	cortes	ganancia
1	8000	80920000
2	8500	81620000
3	9000	81480000
4	9500	84140000
5	10000	83160000
6	10500	83300000
7	11000	82880000
8	11500	81620000
9	12000	81480000
10	12500	79940000
11	13000	79800000
12	13500	79100000
13	14000	77280000
14	14500	76580000
15	15000	75040000
