seq.length.cortes..	cortes	ganancia
1	8000	81480000
2	8500	82180000
3	9000	82880000
4	9500	84420000
5	10000	82880000
6	10500	82740000
7	11000	83440000
8	11500	84140000
9	12000	83720000
10	12500	83020000
11	13000	80920000
12	13500	79660000
13	14000	77560000
14	14500	75740000
15	15000	73640000
