seq.length.cortes..	cortes	ganancia
1	8000	81760000
2	8500	84980000
3	9000	84280000
4	9500	83580000
5	10000	83160000
6	10500	82460000
7	11000	83160000
8	11500	83020000
9	12000	82320000
10	12500	81620000
11	13000	80080000
12	13500	78260000
13	14000	77280000
14	14500	76300000
15	15000	75320000
