seq.length.cortes..	cortes	ganancia
1	8000	78960000
2	8500	80500000
3	9000	80080000
4	9500	81060000
5	10000	82040000
6	10500	81060000
7	11000	82320000
8	11500	82460000
9	12000	80920000
10	12500	79660000
11	13000	79520000
12	13500	77980000
13	14000	77560000
14	14500	77420000
15	15000	75320000
