fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231112 204819	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	269	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.221980282064178	0.0803440961432352	298	12395	9004	76253879.0604698	1
20231112 205324	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.134882393101579	0.714245042846596	678	4376	9404	80634248.8755622	2
20231112 210338	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	597	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0628189732675673	0.409076460650685	712	36034	11213	81453367.816092	3
20231112 210947	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.198516485039145	0.44682528895486	147	19727	10405	81704010.4947526	4
20231112 211304	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.246740918922005	0.92936451900925	478	27167	8229	76435980.5097451	5
20231112 211853	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1086	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.156385578808258	0.0193446946676704	559	23378	10708	77867468.2658671	6
20231112 212446	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	141	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.179513220834197	0.533150968309492	393	29356	11569	77748734.1329335	7
20231112 213310	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.170419282851508	0.586586416774517	942	46272	12110	76238955.5222389	8
20231112 214018	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0742812723119277	0.291582851048443	588	9244	8254	80816122.9385307	9
20231112 214331	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.259476162962383	0.82956067257197	334	48752	11077	76957891.5542229	10
20231112 215004	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.121226726248278	0.970037545386731	978	16630	7479	79494816.091954	11
20231112 215750	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	596	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.090718721630983	0.250863193025289	121	39495	11264	78983844.077961	12
20231112 221802	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1833	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0361041067278711	0.336159723671881	853	41064	9204	82666872.5637181	13
20231112 222213	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.271255173852551	0.65879299230277	253	1794	10220	71189195.4022989	14
20231112 222930	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	827	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.043101552578737	0.783719447433541	24	14711	9346	84429354.3228386	15
20231112 223315	604	1283200	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.286950974153588	0.195369304275955	779	32398	11695	73248143.4282859	16
