seq.length.cortes..	cortes	ganancia
1	8000	8.4e+07
2	8500	85260000
3	9000	85120000
4	9500	84700000
5	10000	85960000
6	10500	86660000
7	11000	85960000
8	11500	84980000
9	12000	84560000
10	12500	83300000
11	13000	82320000
12	13500	81900000
13	14000	79800000
14	14500	77420000
15	15000	75040000
