fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231112 212525	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	522	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.221980282064178	0.0803440961432352	298	12395	8420	73152133.9330335	1
20231112 214045	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.134882393101579	0.714245042846596	678	4376	9934	77963789.1054473	2
20231112 221309	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	958	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0628189732675673	0.409076460650685	712	36034	11556	83424481.7591204	3
20231112 222515	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.198516485039145	0.44682528895486	147	19727	11832	78012561.7191404	4
20231112 223350	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.246740918922005	0.92936451900925	478	27167	10545	78637933.5332334	5
20231112 224647	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1053	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.156385578808258	0.0193446946676704	559	23378	11492	76147084.4577711	6
20231112 230221	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	180	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.179513220834197	0.533150968309492	393	29356	9721	80203274.8625687	7
20231112 231832	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.170419282851508	0.586586416774517	942	46272	10819	81392757.1214393	8
20231112 233322	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	235	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0742812723119277	0.291582851048443	588	9244	9421	82834029.4852574	9
20231112 234515	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	356	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.259476162962383	0.82956067257197	334	48752	10330	79621414.2928536	10
20231112 235554	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.121226726248278	0.970037545386731	978	16630	9212	82577009.4952524	11
20231113 001948	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	883	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.090718721630983	0.250863193025289	121	39495	9095	80932541.2293853	12
20231113 005203	604	3144748	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1080	1	1	1	FALSE	1	0.1	50	0.5	TRUE	108967	0.0361041067278711	0.336159723671881	853	41064	12293	80995936.5317341	13
